,Artist,Title,Writers,Producer,Year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
273,James Taylor,Fire and Rain,Taylor,Peter Asher,70,1oht5GevPN9t1T3kG1m1GO,75,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,audio_features,1oht5GevPN9t1T3kG1m1GO,spotify:track:1oht5GevPN9t1T3kG1m1GO,https://api.spotify.com/v1/tracks/1oht5GevPN9t1T3kG1m1GO,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,203613,4
274,Muddy Waters,Hoochie Coochie Man,Willie Dixon,"Leonard and Phil Chess, Dixon",54,4789JLZ8VZBD3NoEcpOrSi,27,0.584,0.399,2,-10.115,0,0.0811,0.787,0.0673,0.702,0.699,105.946,audio_features,4789JLZ8VZBD3NoEcpOrSi,spotify:track:4789JLZ8VZBD3NoEcpOrSi,https://api.spotify.com/v1/tracks/4789JLZ8VZBD3NoEcpOrSi,https://api.spotify.com/v1/audio-analysis/4789JLZ8VZBD3NoEcpOrSi,228000,3
275,Sly and the Family Stone,Dance to the Music,Sylvester Stewart (Sly Stone),Stone,68,1MQWtVcs0PKsY4PA6ZvLiy,62,0.703,0.529,7,-11.112,1,0.1,0.0168,0.000573,0.911,0.772,128.057,audio_features,1MQWtVcs0PKsY4PA6ZvLiy,spotify:track:1MQWtVcs0PKsY4PA6ZvLiy,https://api.spotify.com/v1/tracks/1MQWtVcs0PKsY4PA6ZvLiy,https://api.spotify.com/v1/audio-analysis/1MQWtVcs0PKsY4PA6ZvLiy,179427,4
276,Roy Orbison,"Oh, Pretty Woman","Orbison, Billy Dees",Wesley Rose,64,48i055G1OT5KxGGftwFxWy,74,0.619,0.603,9,-9.481,1,0.0342,0.715,0.0,0.0721,0.958,127.432,audio_features,48i055G1OT5KxGGftwFxWy,spotify:track:48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/tracks/48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/audio-analysis/48i055G1OT5KxGGftwFxWy,178933,4
277,Lou Reed,Walk on the Wild Side,Reed,"David Bowie, Mick Ronson, Reed",72,5p3JunprHCxClJjOmcLV8G,76,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,audio_features,5p3JunprHCxClJjOmcLV8G,spotify:track:5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/audio-analysis/5p3JunprHCxClJjOmcLV8G,254173,4
278,The Left Banke,Walk Away Renee,"Michael Brown, Bob Calilli, Tony Sansone",Harry Lookofsky,66,6utiXjyN4dWoMNEZa2skxn,45,0.405,0.563,9,-7.313,1,0.033,0.735,0.0,0.198,0.592,117.777,audio_features,6utiXjyN4dWoMNEZa2skxn,spotify:track:6utiXjyN4dWoMNEZa2skxn,https://api.spotify.com/v1/tracks/6utiXjyN4dWoMNEZa2skxn,https://api.spotify.com/v1/audio-analysis/6utiXjyN4dWoMNEZa2skxn,164813,4
279,Howlin," Wolf, 'Spoonful",Willie Dixon,Leonard and Phil Chess,60,7j02rdE5RVtNcNMuLGY5SS,56,0.821,0.376,0,-13.622,1,0.0487,0.669,1.39e-05,0.106,0.824,119.039,audio_features,7j02rdE5RVtNcNMuLGY5SS,spotify:track:7j02rdE5RVtNcNMuLGY5SS,https://api.spotify.com/v1/tracks/7j02rdE5RVtNcNMuLGY5SS,https://api.spotify.com/v1/audio-analysis/7j02rdE5RVtNcNMuLGY5SS,170000,4
280,John Lee Hooker,Boom Boom,Hooker,Calvin Carter,62,2Mr1bGI2E10K7Mt1UJZ6Mw,58,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,audio_features,2Mr1bGI2E10K7Mt1UJZ6Mw,spotify:track:2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/tracks/2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/audio-analysis/2Mr1bGI2E10K7Mt1UJZ6Mw,152351,4
281,Dolly Parton,Jolene,Parton,Bob Ferguson,74,2SpEHTbUuebeLkgs9QB7Ue,75,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,audio_features,2SpEHTbUuebeLkgs9QB7Ue,spotify:track:2SpEHTbUuebeLkgs9QB7Ue,https://api.spotify.com/v1/tracks/2SpEHTbUuebeLkgs9QB7Ue,https://api.spotify.com/v1/audio-analysis/2SpEHTbUuebeLkgs9QB7Ue,161533,4
282,The Lovin," Spoonful, 'Do You Believe in Magic",John Sebastian,Erik Jacobsen,65,1udKn1oNKYQSQ9OmiIWCMu,69,0.552,0.742,0,-7.963,1,0.0454,0.218,0.0,0.339,0.751,138.591,audio_features,1udKn1oNKYQSQ9OmiIWCMu,spotify:track:1udKn1oNKYQSQ9OmiIWCMu,https://api.spotify.com/v1/tracks/1udKn1oNKYQSQ9OmiIWCMu,https://api.spotify.com/v1/audio-analysis/1udKn1oNKYQSQ9OmiIWCMu,125827,4
